id,category,text
31,군대,그건 적게 버 거고 우리 오빠 군대 에서 돈 하나 안 쓰거 휴가 나오면 맨날 신발 사줌
32,군대,많이 주냐 정도 아니냐
33,군대,넘게 줘 내 벌어 살았는데
34,군대,그건 일 안 해서 그런 거 라니까
35,군대,신발 우리 한테 나눠 줬던 거 아니냐
36,군대,신발 나눠줘라 나도 신 어보 자
37,군대,미안한데 초등학생 때 군대 갔어 우리 오빠
38,군대,아니구나 생일 선물 이었나 최근 까지 그것 만 신음
39,군대,앗 미안 우리 동생 얼마 전 전역 해서
40,군대,동생 전역 했냐 몰랐네
41,군대,그니까 최근 인줄 알았다 쏴리 정이 동생 꽤 됐다 했잖아
42,군대,월 제대 민간인 된 지는 한 달 정도 조기 전역 이라
43,군대,우린 서로 를 너무 모른다
44,군대,기억 못 하는 거 라니까 가위 눌린 것
45,군대,군대 갔다 왔냐 아는 게 없어 하나
46,군대,솔직히 우리 오빠 군대 간지 년 된 건 모르기 어려운데
47,군대,헷갈린 거즤 히 히 우리 형제 얼마 나이 차이 안 나서 랩
48,군대,동생 몇 살 인데 군대 간 거지
49,군대,들 국방 의 의무 를 하고 왔다는 게 대단한 거지
50,군대,감사하게 생각 하면 된 거지 무사히 돌아오고
51,군대,그건 국방 의 의무 힘들지
52,군대,공군 은 뭐 하는 군대 지
53,군대,공군 은 비행기 관리 하고 그런 거 아닐까
54,군대,멋있을 것 같다
55,군대,비행기 타 보겠지
56,군대,타 볼 거 같아 공군 인데 비행기 타 봐야지
57,군대,조종도 해보려나
58,군대,공군 은 하늘 지키는 사람 들 인가
59,군대,조종은 못 할 거 같아
60,군대,자격증 따려면 돈 이랑 시간 엄청 든다고 들었어
61,군대,런가
62,군대,거기 서 배우는 게 아니라 자격증 따야 하는 거야
63,군대,글치 그래서 조종은 못 할 거야
64,군대,처음 알았어
65,군대,공군 가면 비행 조종 하고 하늘 날 고 그러는 줄 알았다
66,군대,에이 아니다
67,군대,내 아는 형도 공군 나왔는데 조종 못 한다고 카더라
68,군대,비행기 관리 하는 게 끝 인가
69,군대,관리 하고 훈련 받고 비행기 많이 탔대
70,군대,조종사 따로 있고 이제 옆 이나 뒤 타는 건가
71,군대,그렇게 들었어
72,군대,땡큐 모르는 거 알려줘서
73,군대,공군 알 면 더 신기한 일일 거 같다
74,군대,공군 에도 여군 있겠지
75,군대,여군 은 어디 가나 있을 거 같은데
76,군대,런가
77,군대,한 명 쯤 은 있을 것 같다
78,군대,멋있노 여군 들
79,군대,니 친구 중 에는 여군 없나
80,군대,건너 건너 있다
81,군대,한 번 같이 술 마셨다
82,군대,직업 군 인 시나
83,군대,지금 하고 있을 걸
84,군대,내 보다 어렸다 살
85,군대,멋있다 분 은 어느 직 군 이야
86,군대,몰라 년 전이 라 기억 안 난다
87,군대,한번 보고 끝난 거가
88,군대,연락처 이런 것 교환 안 했다
89,군대,인연 없었네 신기하다
90,군대,살면서 여군 만날 기회 몇 번 이나 있을까
91,군대,나도 처음 봐서 신기하더라 그리고 멋있더라
92,군대,궁금한 것 많이 물어봤었나
93,군대,얼굴 이쁜 편이었음
94,군대,특전사 되게 멋있는 듯
95,군대,너무 힘들 거 같다아니가 훈련
96,군대,훈련 은 힘들 것 같은데 되게 남자다울 듯
97,군대,강철 부대 보면 멋있긴 하더라
98,군대,맞다 특전사 제일 멋있는 듯
99,군대,왜 주변 특전사 나온 사람 없노
100,군대,동생 한 명 있다
101,군대,키 쪼매난데 어째 특전사 들어갔지
102,군대,대단하노 겁나 힘들었을 것 같다
103,군대,힘들다고는 하더라 맨날 운동 한 대
104,군대,몸 겁나 좋겠네
105,군대,팔 근육 대단하더라
106,군대,니 반한 거 아니가
107,군대,내 스타일 아니라서 잔 근육 좋아하는데
108,군대,여자 들 몸 좋은 사람 좋아하지 않나
109,군대,몸 좋은 것 단계 별로 있다
110,군대,마동석 같은 몸 은
111,군대,니 군 복무 기간 년 개월 이었나
112,군대,년 개월 있었지
113,군대,그러면 지금 얼마나 줄 은 거야
114,군대,내 알기 로는 개월 정도 더 줄어든 거 같던데
115,군대,년 개월 면 지금 가는 애 들 은 좋을 듯
116,군대,더 줄어들 거 같다
117,군대,그러면 갈 맛 난다 여군 늘어날 수도
118,군대,안 가봐서 그런 말 하는 거 아니야
119,군대,년 개 월보 줄어들면 갈 사람 많을 것 같지 않아
120,군대,요즘 엔 월급 많이 준다던데
121,군대,년 으로 줄어드는 거 아닌가 싶다
122,군대,월급 받아 봐야 많이 안되잖아
123,군대,지금 은 많이 올랐대
124,군대,모아서 나오면 대단한 거
125,군대,쓸 곳도 많나
126,군대,모으는 사람 꽤 있지 않을까
127,군대,안 모으고 휴가 나가서 술 사 먹고 하는 사람 많 타
128,군대,어떤 사람 보 니까 군 입대 해서 휴가 한번 안 나가고 말년 병장 때 몰아서 달인 쓰는 사람 있더라
129,군대,힘들었을 텐데 왜 그렇게 하는 거지 이해 안되네
130,군대,그런 사람 있더라 구 그러고 휴가 쓰고 바로 전역 하고
131,군대,있을 때 마다 바로 쓰고 나왔는데
132,군대,군 복무 기간 동안 제일 힘들었던 적 꼽 수 있어
133,군대,행군 제일 힘들었지
134,군대,행군 은 걷는 거 말 하는 거야
135,군대,하루 종일 걸어야 한다
136,군대,하루 종일 그러다가 부상 당할 것 같은데
137,군대,발 물집 터져 있지
138,군대,또 자고 일어나서 훈련 받는 거 아니야
139,군대,생각 만 해도 끔찍하다
140,군대,다시는 하기 싫 타
141,군대,그때 물집 잡힌 거 흉터 없나
142,군대,흉터 없지
143,군대,무좀 걸린 사람 엄청 많을걸
144,군대,신발 공기 안 들어오는 거제
145,군대,신발 어떤 건지
146,군대,군화 하면 딱 생각나는 게 있긴 한데 씨꺼멓 고
147,군대,맞다
148,군대,휴가 나올 때 마다 광 나게 닦고 했는데
149,군대,휴가 나올 때 군화 신고 나와야 돼
150,군대,옷 각 잡고 나와야지
151,군대,누구 한테 잘 보이려고 각 잡는 거야
152,군대,군인 들 만의 그런 게 있었다
153,군대,후임 시켜서 옷 각 제대로 잡으라고 뭐라 하는 선임 있었고
154,군대,오빠 군대 복무 기간 몇 년 이었
155,군대,난 년 개월
156,군대,휴가 많이 나왔었나
157,군대,포상 휴가 많이 받았다
158,군대,포상 휴가 받으면 휴가 더 길게 해주는 거가
159,군대,길게 나오면 일 나올 수 있다
160,군대,보름 동안 뭐 해
161,군대,거의 집 있나
162,군대,친구 들 이랑 맨날 술 먹고 자고 반복
163,군대,그러다가 다시 군대 들어가면 너무 슬플 것 같다
164,군대,끔 찍 이다 다시 훈련 받을 생각 하면
165,군대,또 적응하게 된다
166,군대,몸 반응 하는 거야
167,군대,다시 갈 일 없잖오
168,군대,다행 이지 다시 가기 싫 타
169,군대,생각 만 해도 싫나
170,군대,훈련 다시 우 예 받노
171,군대,지금 다녀왔으니 다행
172,군대,어쩔 수 없이 갔다 온 거지
173,군대,방탄소년단 군대 대해 어떻게 생각 해
174,군대,가야 된다고 생각 해
175,군대,왜 그렇게 생각 해
176,군대,대한민국 법 그렇잖아
177,군대,그건 맞지 팬 들 못 보낸대
178,군대,언제 부터 팬 들 말 들었다구
179,군대,그때 청원 올 리지 않았었나
180,군대,세상 미쳐 돌아가는구나
181,군대,방탄 분 들 은 군대 간다 고 그랬대
182,군대,가면 되는 거 아냐
183,군대,그치 한국 알리는데 일조 했다고 안 가도 된다는 식 으로 이야기 했나 봐
184,군대,힉 팬 들 그랬어
185,군대,보고 런가 싶었어
186,군대,그렇게 따지면 국가대표 들 가면 안된다고 생각 해
187,군대,그래서 메달 따면 면제 되잖아
188,군대,메달 권 안 들어가는 게 어렵잖아
189,군대,군대 없어지지는 않겠지
190,군대,안 없어질 것 같아요 원하는 사람 있지 않을까요
191,군대,강제 군대 없었으면 좋겠다 직업 군인 만
192,군대,그러게요 형 은 직업 군인 만 이면 할 것 같아요
193,군대,거기 월급 이랑 더 주면
194,군대,강제 아니면 돈 더 주지 않을까요
195,군대,글치 대우 더 좋아지면 뭐 나쁘지 않음
196,군대,지금 보면 문제 많긴 한데 그것 들 은 없어질까 요
197,군대,그런 것 좀 없어져야 하는데 윗 대가리 들
198,군대,그니 간 요 원해서 가면 않지 않을까요
199,군대,그런 문화 만 바뀌면 괜찮을 듯
200,군대,맞죠 그게 없으면 괜찮은데
201,군대,그러니까 군대 사건 사고 끊이지 않음
202,군대,맞아요 솔직히 뉴스 나오는 게 정말 조금 잖아요
203,군대,그러니까 더 뭔가 있을 텐데
204,군대,솔직히 저희 조금씩 보는 거 보면 뭐
205,군대,좋아하는 유튜버 육군 으로 입대 한 했나 공익 이었나
206,군대,안 가르쳐주고 입대 할 거래
207,군대,그게 뭐라고 왜 안 가르쳐 줌
208,군대,자기 빡빡 머리 보여 주기 싫다고
209,군대,찾아볼까 봐 그럴 수 있군
210,군대,개 웃김 빡빡 머리 되면 못 생겨 보이 니까
211,군대,빡빡 머리 에서 살아남기 힘들지
212,군대,그런 거 민감하더라 자기 메기 수염 보여주기 싫어함
213,군대,조용히 입대 해야겠네
214,군대,그래서 언제 입대 할지 몰라 사라질 거래
215,군대,유튜버 무슨 컨텐츠 를 하는 거야
216,군대,왠지 팬 아닌 사람 사진 올릴 듯 인터넷 에서 유명하니까
217,군대,정도 로 유명해 신기하군
218,군대,성대모사 노래 브이 로그 그런 거
219,군대,아하 노래 잘하나 보네
220,군대,고등학교 때 부터 활동 해 가지 고 노래 곧잘 불러
221,군대,현역 육군 장교 과로 로 숨진 채 발견 된 사건 있다네
222,군대,군인 과로 있구나
223,군대,휴가 나왔다가 복귀 를 안 해서 찾아보니 숨진 채 발견 됐대
224,군대,장교 급 되면 훈련 많이 안 하지 않나
225,군대,그러니까 군인 과로 있는가 했는데 있나 봐
226,군대,안타까운데 좀 신기하기도 하네
227,군대,자대 배치 받고 상관 의 부당한 업무 지시 로 심각한 스트레스 를 받아 왔다고 해
228,군대,스트레스 만 병 의 근원 이다
229,군대,군 부대 관계자 들 상대로 가혹 행위 여부 등 조사 중이 라고 하네
230,군대,스트레스 없는 세상 살 고 싶다
231,군대,유가족 들 은 과로 로 사망 한 거 라고는 하는데
232,군대,자살 한 거일 수도 있는 건가
233,군대,자살 일 것 같은데
234,군대,과로 로 쓰러지 기는 좀
235,군대,과로 로 쓰러져서 사망 했 다기 엔 좀 미심 쩍 긴 해
236,군대,무리 있다
237,군대,유가족 마음 은 이해 간다 만
238,군대,군대 관련 사건 사고 들 은 쉬쉬 하는 부분 많아서
239,군대,진실 알 수가 없는 것 같다
240,군대,왜 그러나 몰라 이해 불가
241,군대,인프라 좋은 곳 군대
242,군대,거기 돈 만 많이 주면 인프라 좋은데
243,군대,군대 장난 아니지 거기 독점 아니냐 거의
244,군대,역신 군대 다녀와서 런가 잊지 못 하나 보네
245,군대,가서 냉동 이랑 아이스크림 과자 쓸고 밥 꽁 짜지 옷 줘 밥줘 살려줘
246,군대,월급 준다고 심지어 집도 주고
247,군대,그렇지만 내보내줘 옵하 들 다시 입대 하시기 좋은 마인드 를 가지 고 계시 용
248,군대,절대 가고 싶진 않아 들 그리워만 하고 다시 가라 하면 자살 한다는 곳
249,군대,부사관 은 더 낫 지 않나
250,군대,로 전역 하고 나면 다시 입소 하는 날 꿈 꿔
251,군대,부사관 이상한 선임 들 만나면 엄청 고생 해
252,군대,풋살 하다가 치킨 피자 가지러 뛰어가는 초임 하사 여럿 봄 난
253,군대,군대 또 다른 작은 사회 잖아
254,군대,않이 대답 좀 해주겠어 들
255,군대,꿈꾼 것 중 하나 깨보 니까 선후 임 들 나와서 놀고 있는 거야 엄청 미화 돼서 깨고 니까 식은 땀 나더라
256,군대,난 아직 없는데 군대 그렇게 안 힘들었어
257,군대,군대 체질 인가 봐
258,군대,군대 케바케 심하긴 하지
259,군대,왜 전문하사 안 했어
260,군대,체질 이라기보다는 기억 잘 안 난다 가고 싶진 않음
261,군대,말뚝 박고 그랬으면 내 면회 갔지
262,군대,병사 일 때 너무 바빠서 못 갔잖아
263,군대,돈 만 좀 더 주면 후임 들 군생활 많이 할만 할 텐데
264,군대,만원 만 줘도 열심히 하겠다 같으면
265,군대,말뚝 박았는데 면회 뭐
266,군대,말뚝 박으면 면회 같은 거 안
267,군대,말뚝 박으면 주말 마다 나올 수 있어 물론 몰래 몰래
268,군대,아직도 훈련병 인 줄
269,군대,군대 면허 갔다 와라
270,군대,후 실비 만 해도 달달 십만 원 씩 나가는데
271,군대,돈 은 못 모아 놓을 듯
272,군대,군인 보험 드 안 들겠지
273,군대,몰겠당 실비 보험 정도 들어 놔야 하는 거 아닌가 짜잘 짜잘 다치는 거 많을 것 같은데
274,군대,따로 안 들어 놓을 거 같지 많이 다치니까
275,군대,왠 실비 이나 되냐
276,군대,하도 많이 다쳐서 것 저 것 되는 거 들어놨어
277,군대,원래 엄마 삼성 보험 년 인가 근무 했었거든
278,군대,실비 뭐 보험 잘 몰라
279,군대,실비 가벼운 감기 이런 걸 로 병원 가면 신청 해서 보험금 받는 거
280,군대,다쳐서 아파서 병원 가고 약국 간 거 영수증 첨부 해서 보험사 보내면 보험 비 로 다시 나와
281,군대,난 수술 되는데 원래 되는 건지는 모르겠네
282,군대,내 보험 은 수술 돼서 발가락 약간 금 가서 깁스 했을 때 다해 서 좀 더 썼나 아무튼 받음
283,군대,아하 아하 그게 이나 든다고
284,군대,병원 많이 다녀야겠네
285,군대,군인 은 실비 되려면 휴가 쓰고 나와야 할 것 같음
286,군대,군대 병원 은 보험 안 될 것 같어
287,군대,하긴 실비 들어 두는 게 좋지 엄청 크게 다치거나 그러면 보험금 나오니까
288,군대,군인 들 은 그럴 일 우리 보다 많을 텐데 나라 에서 안 해줘도 시켜야겠다
289,군대,군대 에서 다치고 오는 게 가장 억울할 듯 나라 에서 책임져 주지 않고
290,군대,그니까 죽어도 잘 안 해주지 않나 청원 올라오고
291,군대,죽어서 연금 처리 이런 걸 떠나서 군대 에서 정당한 사유 있는 사망 아니라고 부정 하고 덮기만 하는데 무슨
292,군대,그니 께 그것 언론 좀 보도 돼야 청원 이라도 하지
293,군대,군대 치킨 사건 알
294,군대,치킨 사건 뭔 디 닭다리 로 때림
295,군대,그게 뭐 처음 들어 봄
296,군대,치킨 시켰단 말 부대 서 거의 만원
297,군대,닭 딱딱하다 배달 비 천 원 더 달랬다 이러면서 환불 시켰단 말
298,군대,이요 내 사 장님 면 착잡할 듯
299,군대,아아 들어 본 적 있는데 잘 모름 환불 무슨 일
300,군대,닭 딱딱한 것 두 거짓말 이고 배달 료 배달 업체 잘못 인데 사장 님 소리 질렀다 이럼서 거짓말 치고 그랬는데 사람 들 알 고 니까 사과문 줄 인가 올리고 묻혔대
301,군대,요새 군대 편한가 봄 옛날 이랑 다르네
302,군대,왜 그러는데 니 어디 가서 그런 말 하면 돌 맞는다
303,군대,남친 휴가 나왔는데 살쪘길래 못 알아볼 뻔했어
304,군대,힘들면 살찌는 타입 인 거 아니야 잘해줘
305,군대,시간 날 때 마다 무슨 파이 과자 이런 거 한 통 씩 사 먹었대
306,군대,달달 한 게 스트레스 받을 때 좋긴 하지 나도 그렇긴 해
307,군대,십 분 한 통 씩 먹었다니까 밥 안주냐고
308,군대,스트레스 받은 거 먹는 걸 로 푸는 타입 인 거 아냐 이해 해줘야지
309,군대,원래 안 그랬는데 걸 과자 를 보내줄까 싶다 가도 그것 걱정 됨
310,군대,흠 내 주변 에는 군대 있을 때 좀 이상해져도 제대 하면 멀쩡해지더라 걍 지금 은 원하는 대로 해줘
311,군대,하긴 훈련 힘드니까 먹는 거 라도 스트레스 안 받고 먹어야지 알았어
312,군대,우리 오빠 군대 가서 운동 해 가지 고 제대 할 때 식스 팩 만들어 옴
313,군대,그게 더 대단한 거 아니야
314,군대,거들 먹 거리 거 짜증 나던데 몸 은 좋긴 하더라
315,군대,생각 해보니 오히려 운동 더 마음 편해야 할 수 있는 것 같기도 하고
316,군대,헉 그렇네 니 남친 더 불쌍하게 느껴짐 과자 많이 사줘라
317,군대,주위 군대 가신 분 있으세요
318,군대,일단 친오빠 몇 년 전 갔다 오긴 했어요
319,군대,아아 저 지금 동생 가있어요
320,군대,동생 이면 걱정 엄청 될 거 같아요
321,군대,연락 은 자주 해 요
322,군대,자대 가더니 자주 오더라고요
323,군대,요즘 군대 핸드폰 들고 가서 걱정 은 많이 안 해도 될 거 같아요
324,군대,맞아요 많이 좋아졌던데요 시도 때 전화 와요
325,군대,심심해 하는 거 같은데 전화 잘 받아줘요
326,군대,받아주려고 하는데 귀찮을 때 있어요
327,군대,바쁜 척 하고 모르는 척 전화 안 받아 버리는
328,군대,맞아요 나중 전화했었네 이러고
329,군대,왜캐 놀고 있냐고 전화 좀 그만 하라 고 구박 하고
330,군대,그렇게 말 하고 좀 미안해서 또 받아주고
331,군대,가족 애 라는 게 대단하긴 한 거 죠 뭐
332,군대,그러니까 요 신기해요 동생 이제 일 남았다고 좋아하던데 안쓰럽더라고요
333,군대,일 아직도 너무 먼 이야기 같은데 귀엽 여
334,군대,너희 할머니 댁 훈련소 바로 옆 이지
335,군대,마자 마자 육군 훈련병 들 의 성지 보이는 곳 이지
336,군대,동생 은 전역 했나
337,군대,짱 가까웠는데 내년 월 전역 이야
338,군대,요즘 짧다고 생각 했는데 어느 정도 하고 나오는구나 동생 육군 이지
339,군대,육군 오늘 열심히 밥 했다지
340,군대,맞다 맞다 취사 병 이었나 지낼 만하 대
341,군대,첨 엔 취사 라 쉬는 날 없고 해서 많이 힘들어 했는데 지금 은 괜찮나 봐
342,군대,올 다행 이다 내 친구 공군 이었는데 맨날 비행기 엔진 소리 때매 귀머거리 될 것 같다고 찡찡댔었거든
343,군대,얘 첨 후회된다 어쩐 엄청 찡 찡 거렸어
344,군대,이야 그래두 기특하네 취사 병 했다니 대량 조리 글케 어렵다는데 대단해
345,군대,전 호텔 에서 일 하다 가서 그런지 부분 은 익숙하더라고
346,군대,아아 글 쿠나 특기 를 살려 갔구만 굿 군대 가면 씻는 시간 짧아서 맨날 울 것 같아
347,군대,머리 감다가 나오라 할 듯 얼마나 걸리지
348,군대,양치 하다 끝날 걸 양치 까지 분 은 함 군대 넘 빡셀덧
349,군대,시간 촉박한 거 너무 싫어 심장 뛰고 난리 날 듯
350,군대,한국인 전시 살아남으려면 어쩔 수 없는 거 긴 하겠지
351,군대,언니 남친 공군 이라고 들었어용 아닌가용
352,군대,이제 좀 있으면 공무원 한다
353,군대,대박 이다 공군 은 주변 거의 없어서
354,군대,니 남자친구 원래 해군 이지 않았어
355,군대,맞아요 해군 년 하고 제대 했어요
356,군대,지금 은 뭐 하고 있어
357,군대,이제 다시 취업 준비 하고 있어요
358,군대,잘 지내고 있 제
359,군대,안 본 지 꽤 되었네
360,군대,백신 맞고 한번 모여요
361,군대,좋지 들 맞았어
362,군대,끝났는데 요새 부작용 시달리고 있어
363,군대,언니 얼굴 괜찮아요
364,군대,저희 이제 다음 달 차 맞아요
365,군대,약 계속 먹고 있어
366,군대,너무 힘들어
367,군대,약 안 먹으면 또 올라오는 거 예요
368,군대,뭐 좀 잘못 먹으면 올라오고 하더라
369,군대,예민해졌나 봐요
370,군대,그때 너무 놀랐음
371,군대,두 그날 그러고 생각 하니 여러 가지 몸 증상 부작용 같더라 구
372,군대,얌 피 엑스 무슨 크림 졸 좋대
373,군대,피 엑스 싸고 좋음
374,군대,형 형 한테 군대 화장품 받음
375,군대,무슨 달팽이 크림 그런 건데
376,군대,생필품 완젼 싸서 좋음
377,군대,군대 화장품 이라 엄썽 싸 돈데
378,군대,엄청 유명하다대
379,군대,형 형 군인 이야
380,군대,요새 아는 군인 없네
381,군대,완전 부럽 주변 군인 없음
382,군대,형 형 군인 이야
383,군대,나이 들었긴 들었나 벼
384,군대,싸고 좋아서 엄청 사는 거 같던데
385,군대,넘 궁금 그게 뭔 데
386,군대,형 형 군인 이라고
387,군대,형 형 군인 은 아님
388,군대,어떻게 줬어
389,군대,주위 군인 아는 사람
390,군대,어떻게 사오셨 더 라고
391,군대,피 엑스 좋다데
392,군대,논산 이라 훈련소 있어서 그런 듯
393,군대,지인 군인 있으 신가 봐
394,군대,신기한 거 많이 팔더라
395,군대,논산 은 군인 의 메카 이니까
396,군대,형수 님 군무원 이신가
397,군대,주위 군인 있니
398,군대,아니요 아무 없네요
399,군대,군대 피 엑스 이용 가능한 사람
400,군대,저 필요합니다 달팽이 크림 굳
401,군대,거기 무슨 맛있는 과자 있다던데
402,군대,과자 모 지 모 지
403,군대,달팽이 크림 써 봤어 유명
404,군대,엄청 쟁 여 두고 쓰고 있는 중
405,군대,못 써 봤어 아는 군인 명
406,군대,헉 슬푸
407,군대,올리브영 에선 비싸다구
408,군대,그걸 누가 사다 줬어
409,군대,전 한테 부탁 했었음
410,군대,올리브영 에서도 파는 거야 몰랐어
411,군대,브랜드 에서 나오는 다른 달팽이 크림 팔더라 구
412,군대,기름지고 그러진 않아
413,군대,한텐 약간 우리 가족 쓰는데 좋대
414,군대,오빠 운전 병 이었다 했나
415,군대,운전 병 이었다 대형 운전
416,군대,어쩐지 운전 엄청 안정 적
417,군대,운전 내 엄청 잘 하지 운전 고수
418,군대,버스 하겠네
419,군대,그때 마을 버스 몰았었다 직업 군인 가족 들
420,군대,트럭 이런 건 껌 이고
421,군대,트럭 은 어릴 때 하도 몰아서 개 껌 이지
422,군대,그런 게 있어
423,군대,직업 군 인들 관사 사는 가족 들 학교 가고 그런 거
424,군대,나중 마을 버스 기사 해 라
425,군대,산청 은 마을 버스 몇 대 없어서 경쟁 개 치열할 걸
426,군대,넘 잘 어울리네 호빵맨 처럼
427,군대,호빵맨 이랑 버스 랑 뭔 상관 인데
428,군대,재 선글라스 쓰고 넘 상상 돼
429,군대,썬 그리에 밀짚모자 써 줘야 제
430,군대,해군 으로 입대 해서 지금 진해 있다던데
431,군대,해군 이었어 대박 내 후임 이네
432,군대,진해 군항제 보고 싶다 못 보게 되니까 보고 싶네
433,군대,군항제 때 가면 군함도 구경 할 수 있고 좋은데
434,군대,코로나 잠잠해지면 다시 하겠지
435,군대,은 왜 해군 간 거지
436,군대,복무 기간 육군 보다 긴데
437,군대,알 게 뭐람 해군 이었잖아
438,군대,몰랐네 누나 보다 더 잘
439,군대,군복 입은 거 겁나 멋있던데
440,군대,해군 군복 좀 멋있긴 하지
441,군대,생각 보다 해군 으로 연예 인들 좀 가네
442,군대,그렇구나 해군 밥 맛있어
443,군대,한국인 은 밥 심이지 밥 맛있어야 돼
444,군대,군대 에서 밥 형편 없이 주는 거 뉴스 서 많이 나오잖아 해군 은 안
445,군대,그렇구만 소소한 행복 이었겠네
446,군대,훈련소 너무 힘들어
447,군대,오랜 만 동생 초코파이 한 박스 사 왔는데 왜 초코파이 만 보면 군대 생각나냐
448,군대,초코파이 오랜 만 듣는 과자 이름 이네
449,군대,맞지 군대 에서 초코파이 엄청 먹었는데
450,군대,그때 시절 의 초코파이 맛 아직도 잊을 수가 없다
451,군대,맞지 훈련소 에서 받은 초코파이 한 봉지 얼마나 맛있었는지
452,군대,훈련소 에서 과자 간식 같은 게 거의 없으니까
453,군대,초코파이 한 봉지 주말 기독교 들으러 가서 받아 오는데 눈물 겹더 라
454,군대,거짓말 아니라 눈물 겹 지 얼마 만에 달달 한 과자 먹으니
455,군대,아껴 먹으려고 관물 대 숨겨 놓고 그랬었는데
456,군대,아껴 먹으려고 관물 대 숨겨 놨다 저녁 점호 시간 관 물대 검사 하다 걸려서 뺏긴 적도 있음
457,군대,소중한 초코파이 를 점호 시간 걸려서 뺏기다니 슬프다
458,군대,하늘 무너지는 심정 이었다
459,군대,그럴만도 하지 초코파이 한 봉지 그게 뭐라고
460,군대,그때 시절 에는 어쩔 수 없었지
461,군대,전역 하고 사회 나와서 초코파이 찾아 먹지도 않았는데
462,군대,나도 솔직히 초코파이 말고 먹을 게 천지 니까
463,군대,올해 상반기 군대 에서 자살 사건 건 이나 있었대
464,군대,요새 자살 많이 하네
465,군대,코로나 때문 휴가 못 나와서 더 런가
466,군대,폭력 그런 것 있지 않겠나
467,군대,인정 왜 그러냐
468,군대,이해 할 수 없다 요새 뉴스 많이 나오더라
469,군대,사회 부 적응 자 들이 그렇게 행패 부리는 거 겠지
470,군대,뭐 잘못 배웠다
471,군대,노 이해 정말 사회 에서 암 것 못 하면서
472,군대,그러니까 왜 그럴까
473,군대,갇혀 있으면 그렇게 되나
474,군대,인성 잘 못 된 거지 뭐
475,군대,맞다 가정 교육 때문 이다
476,군대,인정 한 사람 인생 망 뜨리 나쁜 놈 들
477,군대,피해자 더 안 나오길 바랄 뿐 이다
478,군대,그러니까 이제 좀 없어져야 하는데
479,군대,넷플릭스 드라마 본 적 있나
480,군대,그게 그렇게 핫 하다며
481,군대,그렇다고 하더라고 나도 사실 못 봄
482,군대,뭐 거기 출연 했던 사람 들 예능 많이 나오더라고
483,군대,게 엄청 군대 문제 를 적나라하게 다뤄나서 엄청 보기 불편하더라고
484,군대,보기 불편한 사람 들 많겠는데
485,군대,군대 내 문제 심각하긴 한 가봐
486,군대,주변 얘기 들어 보면 그런 거 같 애
487,군대,요즘 군대 생활 편해졌다 그러는데
488,군대,뉴스 기사 나오는 거 보면 딱히 그렇지도 않는 거 같다
489,군대,갔다 온 자 들 은 더 잘 알겠지
490,군대,요즘 아들 둔 어머니 들 그렇게 애 들 군대 보내기 싫어한다 안 하나
